Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,GMRS1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMRS8,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,GMRS9,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,GMRS10,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,GMRS11,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,GMRS12,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,GMRS13,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,GMRS14,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,GMRS15,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
31,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
32,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
33,BLUE,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,GREEN,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,WX1PA7,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,WX2PA1,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
37,WX3PA4,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
38,WX4PA2,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,WX5PA3,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
40,WX6PA5,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
41,WX7PA6,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,WX8,161.650000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,WX9,161.775000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,WX10,163.275000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
