# Tag name          ;  color
aircraft            ; #c0c0c0
amateur             ; #c0c0c0
belmont             ; #c0c0c0
broadcast           ; #c0c0c0
business            ; #c0c0c0
cb                  ; #c0c0c0
corrections         ; #c0c0c0
deprecated          ; #c0c0c0
dmr                 ; #c0c0c0
emergency_ops       ; #c0c0c0
ems_dispatch        ; #c0c0c0
ems-tac             ; #c0c0c0
ems-talk            ; #c0c0c0
federal             ; #c0c0c0
fire_dispatch       ; #c0c0c0
fire-tac            ; #c0c0c0
fire-talk           ; #c0c0c0
gmrs                ; #c0c0c0
law_dispatch        ; #c0c0c0
law_tac             ; #c0c0c0
law_talk            ; #c0c0c0
media               ; #c0c0c0
medical             ; #c0c0c0
mmra                ; #00c000
multi-dispatch      ; #c0c0c0
pager               ; #c0c0c0
public_works        ; #c0c0c0
repeater            ; #c0c0c0
schools             ; #c0c0c0
security            ; #c0c0c0
telemetry           ; #c0c0c0
transportation      ; #c0c0c0
trs                 ; #c0c0c0
Untagged            ; #c0c0c0
weather             ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
    26965000; CB 1                     ; AM                  ;      10000; cb
    26975000; CB 2                     ; AM                  ;      10000; cb
    26985000; CB 3                     ; AM                  ;      10000; cb
    27005000; CB 4                     ; AM                  ;      10000; cb
    27015000; CB 5                     ; AM                  ;      10000; cb
    27025000; CB 6                     ; AM                  ;      10000; cb
    27035000; CB 7                     ; AM                  ;      10000; cb
    27055000; CB 8                     ; AM                  ;      10000; cb
    27065000; CB 9                     ; AM                  ;      10000; cb
    27075000; CB 10                    ; AM                  ;      10000; cb
    29680000; Marlboro East Repeaters  ; Narrow FM           ;      10000; amateur
    33439999; County Fire Low Band Ch. 2 District 6 Fire Mutual Aid Association; Narrow FM           ;      10000; fire-talk
    33479999; Fire Reserve Tewksbury   ; Narrow FM           ;      10000; fire-tac
    33660000; Fire Dispatch (Tone Outs Only) Carlisle; Narrow FM           ;      10000; fire_dispatch
    33660000; County Fire Low Band Ch. 1 Primary District 6 Fire Mutual Aid Association; Narrow FM           ;      10000; fire_dispatch
    33660000; County - North Middlesex Fire Westford; Narrow FM           ;      10000; fire-talk
    33760000; Fire Paging Chelmsford   ; Narrow FM           ;      10000; fire_dispatch
    33760000; County Fire Low Band Ch. 3 Fireground District 6 Fire Mutual Aid Association; Narrow FM           ;      10000; fire-tac
    33980000; D14 - District Wide "Low 33" District 14 Fire Mutual Aid Association; Narrow FM           ;      10000; fire-tac
    43760000; Dee Bus Service, Inc. Tyngsborough; Narrow FM           ;      10000; transportation
    44600000; Dee Bus Service, Inc. Tyngsborough; Narrow FM           ;      10000; transportation
    46360000; D14 - District Wide "Low 46" District 14 Fire Mutual Aid Association; Narrow FM           ;      10000; fire-tac
    46400000; Fire Department - Former CH2 Stow; Narrow FM           ;      10000; fire-tac
    46500000; Fire Department - Low Band Boxborough; Narrow FM           ;      10000; fire_dispatch
    46500000; Fire Department - Former Main Stow; Narrow FM           ;      10000; fire_dispatch
    46540000; DPW Shirley              ; Narrow FM           ;      10000; public_works
    47500000; School Buses Billerica   ; Narrow FM           ;      10000; schools
    47540000; School Buses Billerica   ; Narrow FM           ;      10000; schools
    48380000; Electic and Water Department Littleton; Narrow FM           ;      10000; public_works
    53810000; Marlboro East Repeaters  ; Narrow FM           ;      10000; amateur
   118249400; Voice                    ; Narrow FM           ;      10000; Untagged
   118500000; Hanscom Tower Laurence G. Hanscom Field Airport (BED); Narrow FM           ;      10000; aircraft
   121700000; Hanscom Ground Laurence G. Hanscom Field Airport (BED); Narrow FM           ;      10000; aircraft
   121850000; Hanscom Clearance/Delivery Laurence G. Hanscom Field Airport (BED); Narrow FM           ;      10000; aircraft
   124600000; Hanscom ATIS Laurence G. Hanscom Field Airport (BED); Narrow FM           ;      10000; aircraft
   133000000; 133.000                  ; Narrow FM           ;      10000; Untagged
   133425300; 133.425                  ; Narrow FM           ;      10000; Untagged
   144200000; NA 2M SSB Calling Frequency; Narrow FM           ;      10000; amateur
   144390000; NA APRS                  ; Narrow FM           ;      10000; amateur,telemetry
   145110000; CWA Concord 1            ; Narrow FM           ;      10000; amateur,repeater
   145160000; MMRA BRK                 ; Narrow FM           ;      10000; mmra,amateur,repeater
   145231700; W1BOS (BARC)             ; Narrow FM           ;      20000; amateur
   145330000; Westford - D-STAR XRF038A Repeaters; Narrow FM           ;      10000; amateur
   145430000; MMRA BEL                 ; Narrow FM           ;      10000; mmra,amateur,repeater
   146030000; MARC 2                   ; Narrow FM           ;      10000; amateur,repeater
   146520000; NA 2M Simplex Calling Frequency; Narrow FM           ;      10000; amateur
   146625000; Newbury - RACES Sector 1E W Repeaters; Narrow FM           ;      10000; amateur
   146640000; WARA 2M Repeater         ; Narrow FM           ;      10000; amateur,repeater
   146640000; Waltham - P25 - WARA Repeaters; Narrow FM           ;      10000; amateur
   146640000; Waltham - FM - WARA Echolink 490278 Repeaters; Narrow FM           ;      10000; amateur
   146670000; MMRA QCY                 ; Narrow FM           ;      10000; mmra,amateur,repeater
   146715000; Burlington Repeaters     ; Narrow FM           ;      10000; amateur
   146715000; North Reading - RACES Sector 1D Repeaters; Narrow FM           ;      10000; amateur
   146715000; MMRA NRD                 ; Narrow FM           ;      10000; mmra,amateur,repeater
   146790500; MMRA WES                 ; Narrow FM           ;      10000; mmra,amateur,repeater
   146820000; MMRA BBY                 ; Narrow FM           ;      10000; mmra,amateur,repeater
   146955000; Westford - RACES Sector 1C Repeaters; Narrow FM           ;      10000; amateur
   147090000; MARC 1                   ; Narrow FM           ;      10000; amateur,repeater
   147270000; Marlboro West Repeaters  ; Narrow FM           ;      10000; amateur
   147270000; MMRA MRW                 ; Narrow FM           ;      10000; mmra,amateur,repeater
   147390000; Beverly - RACES Sector 1F Repeaters; Narrow FM           ;      10000; amateur
   150799900; Faint pager signal       ; Narrow FM           ;      10000; pager
   150955000; Department of Public Works Dunstable; Narrow FM           ;      10000; public_works
   151025000; Public Works Reading     ; Narrow FM           ;      10000; public_works
   151100000; Highway Department CH1 Tewksbury; Narrow FM           ;      10000; public_works
   151526200; unknown DMR              ; Narrow FM           ;      10000; dmr
   151730000; Boston Amb Chair Car Private EMS; Narrow FM           ;      10000; ems_dispatch
   151910000; Atlantic Dispatch Private EMS; Narrow FM           ;      10000; ems_dispatch
   151916700; DMR (Bus dispatch?)      ; Narrow FM           ;      10000; dmr
   152097000; unknown DMR              ; Narrow FM           ;      10000; dmr
   152367500; Boston Amb Dispatch Private EMS; Narrow FM           ;      10000; ems_dispatch
   152397500; Cataldo Chair Car Private EMS; Narrow FM           ;      10000; ems_dispatch
   152599000; Boston Medical Center    ; Narrow FM           ;      10000; medical,pager
   152907900; unknown DMR              ; Narrow FM           ;      10000; dmr
